,Time,Names,ConfirmedCases,Recovered,Deaths,Population,LandArea,MedianAge,German
122,2020-03-22,MOROCCO,96,3,3,36910560,446300,30,Marokko
123,2020-03-22,MOZAMBIQUE,0,0,0,31255435,786380,18,Mozambique
124,2020-03-22,MYANMAR,0,0,0,54409800,653290,29,Myanmar
125,2020-03-22,NAMIBIA,3,0,0,2540905,823290,22,Namibia
126,2020-03-22,NEPAL,1,1,1,29136808,143350,25,Nepal
127,2020-03-22,NETHERLANDS,3643,3,3,17134872,33720,43,Niederlande
128,2020-03-22,NEW CALEDONIA,4,0,0,285498,18280,34,Neu-Kaledonien
129,2020-03-22,NEW ZEALAND,67,0,0,4822233,263310,38,Neuseeland
130,2020-03-22,NICARAGUA,2,0,0,6624554,120340,26,Nicaragua
131,2020-03-22,NIGER,1,0,0,24206644,1266700,15,Niger
132,2020-03-22,NIGERIA,25,3,3,206139589,910770,18,Nigeria
133,2020-03-22,N. MACEDONIA,85,1,1,2083374,25220,39,N. Mazedonien
134,2020-03-22,NORWAY,2169,6,6,5421241,365268,40,Norwegen
135,2020-03-22,OMAN,55,13,13,5106626,309500,31,Oman
136,2020-03-22,PAKISTAN,733,13,13,220892340,770880,23,Pakistan
137,2020-03-22,PANAMA,245,1,1,4314767,74340,30,Panama
138,2020-03-22,PAPUA NEW GUINEA,1,0,0,8947024,452860,22,Papua Neu-Guinea
139,2020-03-22,PARAGUAY,22,0,0,7132538,397300,26,Paraguay
140,2020-03-22,PERU,318,2,2,32971854,1280000,31,Peru
141,2020-03-22,PHILIPPINES,380,15,15,109581078,298170,26,Philippinen
142,2020-03-22,POLAND,547,13,13,37846611,306230,42,Polen
143,2020-03-22,PORTUGAL,1280,5,5,10196709,91590,46,Portugal
144,2020-03-22,PUERTO RICO,21,0,0,2860853,8870,44,Puerto Rico
145,2020-03-22,QATAR,481,27,27,2881053,11610,32,Katar
146,2020-03-22,S. KOREA,8897,2909,2909,51269185,97230,44,S. Korea
